,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,Filter B2
0,2025-09-01T08:00:00,96,924,70,31,3,2,3,6,6,6,fruit,swim,friends,office,,,
1,2025-09-01T10:00:00,78,943,51,31,3,2,6,5,4,2,cracker,golf,friends,park,Yes,Yes,
2,2025-09-01T12:00:00,76,1355,48,49,6,2,3,2,7,1,cracker,golf,friends,park,Yes,Yes,
3,2025-09-01T14:00:00,82,613,66,63,3,4,3,6,3,1,oatmeal,tennis,friends,park,Yes,Yes,
4,2025-09-01T16:00:00,128,1325,54,33,5,6,3,5,6,7,oatmeal,tennis,friends,office,,,
5,2025-09-01T18:00:00,83,1590,69,47,7,6,2,2,3,2,yoghurt,yoga,friends,cafe,,,
6,2025-09-01T20:00:00,94,874,44,33,2,6,6,3,5,1,cracker,yoga,colleagues,park,Yes,,Yes
7,2025-09-01T22:00:00,122,1726,39,42,6,2,7,6,5,2,oatmeal,golf,friends,park,Yes,Yes,
8,2025-09-02T00:00:00,108,1140,67,30,5,6,5,1,3,5,milk,yoga,relatives,office,,,
9,2025-09-02T02:00:00,144,1484,36,43,5,2,3,4,5,3,bread,golf,friends,park,Yes,Yes,
10,2025-09-02T04:00:00,104,1057,62,51,5,1,4,7,5,2,bread,yoga,colleagues,park,Yes,,Yes
11,2025-09-02T06:00:00,98,964,54,38,3,3,3,3,7,2,yoghurt,swim,friends,park,Yes,Yes,
12,2025-09-02T08:00:00,115,777,69,61,2,5,5,4,5,1,oatmeal,bike,friends,park,Yes,Yes,
13,2025-09-02T10:00:00,80,411,68,32,2,1,5,6,4,3,fruit,golf,friends,park,Yes,Yes,Yes
14,2025-09-02T12:00:00,141,685,56,38,2,2,3,6,3,3,yoghurt,walk,relatives,park,Yes,,
