,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,2025-09-01T08:00:00,75,758,65,54,5,6,2,5,4,3,bread,yoga,colleagues,cafe,,Yes,,Yes
1,2025-09-01T10:00:00,146,1286,52,58,5,3,5,3,5,3,milk,golf,partner,home,,,,
2,2025-09-01T12:00:00,108,1509,31,50,1,3,5,6,2,3,fruit,walk,colleagues,street,Yes,,Yes,
3,2025-09-01T14:00:00,103,1702,50,45,6,4,7,6,6,4,yoghurt,yoga,colleagues,street,,Yes,,Yes
4,2025-09-01T16:00:00,145,1026,55,49,6,5,2,6,5,5,milk,walk,partner,store,Yes,,Yes,
5,2025-09-01T18:00:00,77,807,38,45,4,1,2,4,5,6,yoghurt,bike,colleagues,cafe,,,,
6,2025-09-01T20:00:00,125,1433,68,42,6,4,2,2,1,1,milk,bike,acquaintances,store,,,,
7,2025-09-01T22:00:00,102,1495,59,49,2,7,5,7,6,6,yoghurt,yoga,friends,home,,Yes,,Yes
8,2025-09-02T00:00:00,130,437,60,61,2,2,3,7,2,3,milk,walk,relatives,cafe,Yes,,Yes,
9,2025-09-02T02:00:00,130,1500,46,36,6,3,3,5,5,4,bread,walk,relatives,home,Yes,,Yes,
10,2025-09-02T04:00:00,125,985,64,62,4,6,7,7,6,5,oatmeal,walk,strangers,office,Yes,,Yes,
11,2025-09-02T06:00:00,149,685,57,53,6,1,3,5,3,1,oatmeal,walk,relatives,office,Yes,,Yes,
12,2025-09-02T08:00:00,92,1365,37,56,3,4,6,6,6,3,cracker,walk,relatives,office,Yes,,Yes,
13,2025-09-02T10:00:00,85,423,48,37,4,5,4,1,5,2,milk,bike,strangers,office,,,,
14,2025-09-02T12:00:00,146,1249,56,39,2,2,5,5,1,5,milk,walk,strangers,cafe,Yes,,Yes,
