,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,2025-09-01T08:00:00,112,1147,56,40,5,5,2,6,2,6,oatmeal,tennis,friends,office,,,,
1,2025-09-01T10:00:00,95,1452,48,53,3,5,4,6,7,2,oatmeal,tennis,partner,office,,,,
2,2025-09-01T12:00:00,113,1691,44,41,5,1,7,6,6,1,milk,tennis,partner,park,Yes,,Yes,
3,2025-09-01T14:00:00,68,1453,48,45,2,2,2,2,4,5,yoghurt,yoga,colleagues,cafe,,Yes,,Yes
4,2025-09-01T16:00:00,91,1495,37,44,1,3,3,6,5,4,yoghurt,yoga,partner,home,,,,
5,2025-09-01T18:00:00,137,801,44,35,4,2,4,2,3,7,cracker,swim,relatives,home,,,,
6,2025-09-01T20:00:00,64,1758,50,55,4,5,3,5,7,6,yoghurt,bike,partner,cafe,,Yes,,Yes
7,2025-09-01T22:00:00,103,1005,39,37,3,2,2,4,6,5,cracker,yoga,friends,office,,,,
8,2025-09-02T00:00:00,73,1423,42,44,6,4,6,2,2,1,fruit,walk,partner,park,Yes,,Yes,
9,2025-09-02T02:00:00,117,1598,36,37,4,5,2,1,4,6,milk,swim,partner,cafe,,Yes,,Yes
10,2025-09-02T04:00:00,117,678,38,41,3,1,4,2,2,3,yoghurt,swim,colleagues,home,,,,
11,2025-09-02T06:00:00,85,1387,51,46,4,5,3,6,3,2,cracker,walk,friends,home,,,,
12,2025-09-02T08:00:00,139,1534,38,53,2,4,2,4,4,1,fruit,walk,partner,park,Yes,,Yes,
13,2025-09-02T10:00:00,71,940,32,66,6,4,3,4,7,7,cracker,yoga,friends,home,,,,
14,2025-09-02T12:00:00,127,700,43,68,3,4,2,5,5,5,fruit,swim,friends,home,,,,
