,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2,tm
0,0,2025-09-01T08:00:00,75,758,63,54,5,6,2,3,4,3,ψωμί,ποδήλατο,συνάδελφοι,καφετέρια,,Yes,,Yes,01/09/2025 08:00
1,1,2025-09-01T10:00:00,146,1286,57,58,5,3,5,2,5,3,γάλα,γκολφ,σύντροφος,σπίτι,,Yes,Yes,,01/09/2025 10:00
2,2,2025-09-01T12:00:00,108,1509,57,50,1,3,5,1,2,3,φρούτο,τέννις,συνάδελφοι,δρόμος,,Yes,Yes,,01/09/2025 12:00
3,3,2025-09-01T14:00:00,103,1702,50,45,6,4,7,4,6,4,γιαούρτι,γιόγκα,συνάδελφοι,δρόμος,,,,,01/09/2025 14:00
4,4,2025-09-01T16:00:00,145,1026,40,49,6,5,2,1,5,5,γάλα,περπάτημα,σύντροφος,μαγαζί,Yes,,,Yes,01/09/2025 16:00
5,5,2025-09-01T18:00:00,77,807,38,45,4,1,2,3,5,6,γιαούρτι,ποδήλατο,συνάδελφοι,καφετέρια,Yes,,Yes,,01/09/2025 18:00
6,6,2025-09-01T20:00:00,125,1433,68,42,6,4,2,5,1,1,γάλα,ποδήλατο,γνωστοί,μαγαζί,,,,,01/09/2025 20:00
7,7,2025-09-01T22:00:00,102,1495,43,49,2,7,5,3,6,6,γιαούρτι,γιόγκα,φίλοι,σπίτι,Yes,,Yes,,01/09/2025 22:00
8,8,2025-09-02T00:00:00,130,437,42,61,2,2,3,1,2,3,γάλα,τέννις,συγγενείς,καφετέρια,Yes,,Yes,,02/09/2025 00:00
9,9,2025-09-02T02:00:00,130,1500,37,36,6,3,3,3,5,4,ψωμί,περπάτημα,συγγενείς,σπίτι,Yes,,Yes,,02/09/2025 02:00
10,10,2025-09-02T04:00:00,125,985,40,62,4,6,7,1,6,5,βρώμη,κολύμπι,ξένοι,γραφείο,Yes,,Yes,,02/09/2025 04:00
11,11,2025-09-02T06:00:00,149,685,40,53,6,1,3,2,3,1,βρώμη,τέννις,συγγενείς,γραφείο,Yes,,,Yes,02/09/2025 06:00
12,12,2025-09-02T08:00:00,92,1365,37,56,3,4,6,1,6,3,κράκερ,γιόγκα,συγγενείς,γραφείο,Yes,,Yes,,02/09/2025 08:00
13,13,2025-09-02T10:00:00,85,423,43,37,4,5,4,2,5,2,γάλα,ποδήλατο,ξένοι,γραφείο,Yes,,Yes,,02/09/2025 10:00
14,14,2025-09-02T12:00:00,146,1249,35,39,2,2,5,2,1,5,γάλα,περπάτημα,ξένοι,καφετέρια,Yes,,Yes,,02/09/2025 12:00
