,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2,tm
0,0,2025-09-01T08:00:00,140,1542,64,41,5,3,6,7,2,7,γιαούρτι,ποδήλατο,συγγενείς,σπίτι,,,,,01/09/2025 08:00
1,1,2025-09-01T10:00:00,75,1450,67,34,6,3,6,4,4,7,φρούτο,ποδήλατο,συνάδελφοι,γραφείο,,,,,01/09/2025 10:00
2,2,2025-09-01T12:00:00,99,611,38,48,4,6,7,2,5,1,φρούτο,κολύμπι,συνάδελφοι,πάρκο,Yes,,Yes,,01/09/2025 12:00
3,3,2025-09-01T14:00:00,132,554,39,43,4,5,7,3,4,3,γάλα,ποδήλατο,φίλοι,καφετέρια,Yes,,Yes,,01/09/2025 14:00
4,4,2025-09-01T16:00:00,94,594,66,64,4,6,4,1,7,6,φρούτο,γιόγκα,συνάδελφοι,καφετέρια,Yes,,Yes,,01/09/2025 16:00
5,5,2025-09-01T18:00:00,108,850,65,46,4,6,4,4,6,5,κράκερ,γιόγκα,φίλοι,σπίτι,,,,,01/09/2025 18:00
6,6,2025-09-01T20:00:00,80,1400,33,49,6,6,4,7,6,3,βρώμη,γιόγκα,σύντροφος,γραφείο,,,,,01/09/2025 20:00
7,7,2025-09-01T22:00:00,145,1142,53,36,6,3,2,5,4,2,βρώμη,τέννις,συνάδελφοι,πάρκο,,Yes,,Yes,01/09/2025 22:00
8,8,2025-09-02T00:00:00,140,1057,48,47,4,3,7,4,6,6,κράκερ,γιόγκα,συνάδελφοι,σπίτι,,Yes,,Yes,02/09/2025 00:00
9,9,2025-09-02T02:00:00,102,1057,33,62,6,1,4,5,3,5,βρώμη,περπάτημα,συνάδελφοι,γραφείο,,Yes,,Yes,02/09/2025 02:00
10,10,2025-09-02T04:00:00,72,850,31,55,4,5,2,4,2,2,κράκερ,γιόγκα,φίλοι,σπίτι,,,,,02/09/2025 04:00
11,11,2025-09-02T06:00:00,96,798,68,36,6,5,4,5,6,3,βρώμη,ποδήλατο,συγγενείς,πάρκο,,,,,02/09/2025 06:00
12,12,2025-09-02T08:00:00,117,1692,55,37,5,3,2,7,3,4,βρώμη,περπάτημα,φίλοι,γραφείο,,,,,02/09/2025 08:00
13,13,2025-09-02T10:00:00,60,1431,60,35,4,4,3,2,5,1,φρούτο,τέννις,φίλοι,σπίτι,,,,,02/09/2025 10:00
14,14,2025-09-02T12:00:00,82,1767,48,68,1,1,6,5,6,2,γιαούρτι,κολύμπι,σύντροφος,γραφείο,,,,,02/09/2025 12:00
