,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,2025-09-01T08:00:00,125,1792,59,56,3,5,5,4,1,3,yoghurt,walk,colleagues,home,,,,
1,2025-09-01T10:00:00,118,665,42,42,5,1,6,7,5,5,cracker,yoga,friends,cafe,,,,
2,2025-09-01T12:00:00,68,1137,54,37,2,6,2,3,6,5,yoghurt,tennis,colleagues,office,,,,
3,2025-09-01T14:00:00,89,1428,57,59,6,3,6,4,3,4,oatmeal,swim,relatives,office,,,,
4,2025-09-01T16:00:00,63,938,61,53,7,5,6,2,1,2,yoghurt,tennis,friends,office,,Yes,,Yes
5,2025-09-01T18:00:00,144,939,64,63,1,6,6,3,4,2,cracker,bike,friends,cafe,,Yes,,Yes
6,2025-09-01T20:00:00,131,940,66,51,7,5,2,3,4,7,cracker,walk,partner,office,,Yes,,Yes
7,2025-09-01T22:00:00,127,909,59,40,6,5,1,6,4,1,yoghurt,swim,relatives,office,,,,
8,2025-09-02T00:00:00,113,1299,53,61,2,5,5,6,4,3,cracker,tennis,relatives,park,,,,
9,2025-09-02T02:00:00,73,934,35,48,4,6,5,4,6,2,yoghurt,bike,relatives,home,Yes,,Yes,
10,2025-09-02T04:00:00,119,935,39,45,4,5,3,5,5,6,milk,yoga,relatives,home,Yes,,Yes,
11,2025-09-02T06:00:00,75,936,39,37,4,6,2,5,5,2,milk,yoga,relatives,home,Yes,,Yes,
12,2025-09-02T08:00:00,134,1535,53,45,5,5,1,3,6,1,milk,bike,colleagues,home,,,,
13,2025-09-02T10:00:00,93,1607,59,63,5,6,4,3,4,3,fruit,yoga,colleagues,home,,,,
14,2025-09-02T12:00:00,69,758,49,49,4,1,4,2,4,6,cracker,swim,colleagues,office,,,,
