,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,Filter B2
0,2025-09-01T08:00:00,141,952,36,56,4,2,5,2,2,6,yoghurt,swim,friends,cafe,Yes,Yes,
1,2025-09-01T10:00:00,73,1459,60,65,5,5,4,7,6,2,cracker,bike,partner,cafe,Yes,Yes,
2,2025-09-01T12:00:00,121,403,41,61,5,4,6,7,2,4,oatmeal,yoga,colleagues,cafe,Yes,Yes,
3,2025-09-01T14:00:00,80,1204,35,44,6,4,4,6,7,2,cracker,walk,relatives,office,Yes,,
4,2025-09-01T16:00:00,93,1328,63,32,4,2,5,5,3,6,oatmeal,swim,partner,office,Yes,,
5,2025-09-01T18:00:00,68,548,55,33,6,5,3,4,1,2,oatmeal,tennis,colleagues,cafe,,,
6,2025-09-01T20:00:00,117,1504,34,46,7,7,7,5,3,5,yoghurt,swim,partner,office,,,
7,2025-09-01T22:00:00,105,471,33,31,5,2,6,4,2,2,yoghurt,yoga,friends,office,Yes,,
8,2025-09-02T00:00:00,133,1584,40,68,1,4,4,1,2,5,fruit,yoga,friends,office,Yes,,
9,2025-09-02T02:00:00,86,602,62,51,3,6,4,5,5,3,fruit,yoga,colleagues,office,Yes,,
10,2025-09-02T04:00:00,129,1647,66,65,4,2,5,1,4,5,oatmeal,swim,colleagues,office,Yes,,
11,2025-09-02T06:00:00,125,1664,58,56,7,7,5,2,6,5,fruit,tennis,relatives,park,Yes,,Yes
12,2025-09-02T08:00:00,111,753,49,34,4,5,6,3,5,6,cracker,yoga,colleagues,park,Yes,,Yes
13,2025-09-02T10:00:00,100,458,37,42,2,5,6,2,6,7,fruit,swim,colleagues,park,Yes,,Yes
14,2025-09-02T12:00:00,63,506,43,59,3,2,5,3,6,2,fruit,swim,friends,home,Yes,,
