,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,Filter B2
0,0,2025-09-01T08:00:00,141,952,36,56,4,2,5,2,2,6,γιαούρτι,κολύμπι,φίλοι,καφετέρια,Yes,Yes,
1,1,2025-09-01T10:00:00,73,1459,60,65,5,5,4,7,6,2,κράκερ,ποδήλατο,σύντροφος,καφετέρια,Yes,Yes,
2,2,2025-09-01T12:00:00,121,403,41,61,5,4,6,7,2,4,βρώμη,γιόγκα,συνάδελφοι,καφετέρια,Yes,Yes,
3,3,2025-09-01T14:00:00,80,1204,35,44,6,4,4,6,7,2,κράκερ,περπάτημα,συγγενείς,μαγαζί,Yes,,
4,4,2025-09-01T16:00:00,93,1328,63,32,4,2,5,5,3,6,βρώμη,κολύμπι,σύντροφος,γραφείο,Yes,,
5,5,2025-09-01T18:00:00,68,548,55,33,6,5,3,4,1,2,βρώμη,τέννις,συνάδελφοι,καφετέρια,,,
6,6,2025-09-01T20:00:00,117,1504,34,46,7,7,7,5,3,5,γιαούρτι,κολύμπι,σύντροφος,δρόμος,,,
7,7,2025-09-01T22:00:00,105,471,33,31,5,2,6,4,2,2,γιαούρτι,γιόγκα,φίλοι,γραφείο,Yes,,
8,8,2025-09-02T00:00:00,133,1584,40,68,1,4,4,1,2,5,φρούτο,γιόγκα,φίλοι,γραφείο,Yes,,
9,9,2025-09-02T02:00:00,86,602,62,51,3,6,4,5,5,3,φρούτο,γιόγκα,συνάδελφοι,γραφείο,Yes,,
10,10,2025-09-02T04:00:00,129,1647,66,65,4,2,5,1,4,5,βρώμη,κολύμπι,συνάδελφοι,γραφείο,Yes,,
11,11,2025-09-02T06:00:00,125,1664,58,56,7,7,5,2,6,5,φρούτο,τέννις,συγγενείς,πάρκο,Yes,,Yes
12,12,2025-09-02T08:00:00,111,753,49,34,4,5,6,3,5,6,κράκερ,γιόγκα,συνάδελφοι,πάρκο,Yes,,Yes
13,13,2025-09-02T10:00:00,100,458,37,42,2,5,6,2,6,7,φρούτο,κολύμπι,συνάδελφοι,πάρκο,Yes,,Yes
14,14,2025-09-02T12:00:00,63,506,43,59,3,2,5,3,6,2,φρούτο,κολύμπι,φίλοι,σπίτι,Yes,,
