,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,2025-09-01T08:00:00,62,610,60,32,6,3,6,6,6,1,fruit,tennis,partner,home,,Yes,,Yes
1,2025-09-01T10:00:00,145,859,45,35,2,2,7,2,4,4,cracker,swim,relatives,park,,,,
2,2025-09-01T12:00:00,61,1698,49,63,3,6,5,5,4,1,oatmeal,bike,friends,street,,,,
3,2025-09-01T14:00:00,89,1156,42,33,6,1,6,4,5,3,milk,walk,acquaintances,cafe,Yes,,Yes,
4,2025-09-01T16:00:00,132,1363,44,40,4,6,4,5,3,1,bread,bike,friends,home,,Yes,,Yes
5,2025-09-01T18:00:00,133,1324,51,67,3,5,7,7,3,3,fruit,yoga,friends,home,,,,
6,2025-09-01T20:00:00,80,1065,66,37,4,1,5,4,3,1,bread,swim,acquaintances,store,Yes,Yes,Yes,Yes
7,2025-09-01T22:00:00,104,1010,64,47,6,4,6,5,7,2,cracker,swim,colleagues,office,,Yes,,Yes
8,2025-09-02T00:00:00,61,1310,46,35,2,3,3,3,1,2,milk,walk,relatives,store,Yes,,Yes,
9,2025-09-02T02:00:00,108,457,58,41,5,3,6,7,6,5,yoghurt,golf,colleagues,office,,,,
10,2025-09-02T04:00:00,103,612,48,65,6,2,4,5,4,1,yoghurt,bike,strangers,street,,Yes,,Yes
11,2025-09-02T06:00:00,145,1204,47,64,7,3,3,5,2,3,yoghurt,yoga,colleagues,street,,Yes,,Yes
12,2025-09-02T08:00:00,117,935,56,36,6,4,4,2,4,5,fruit,golf,relatives,cafe,,,,
13,2025-09-02T10:00:00,81,873,63,49,3,6,4,6,3,2,fruit,bike,colleagues,office,,Yes,,Yes
14,2025-09-02T12:00:00,137,1132,43,66,4,7,4,6,2,2,cracker,swim,acquaintances,office,,Yes,,Yes
