,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,2025-09-01T08:00:00,131,1573,32,46,6,3,6,2,1,2,fruit,yoga,relatives,office,Yes,,Yes,
1,2025-09-01T10:00:00,87,971,32,37,1,7,3,7,2,4,milk,swim,partner,home,Yes,,Yes,
2,2025-09-01T12:00:00,65,767,37,33,6,5,1,6,6,4,fruit,swim,colleagues,office,Yes,,Yes,
3,2025-09-01T14:00:00,77,1469,49,37,3,6,5,4,4,3,yoghurt,bike,relatives,park,,,,
4,2025-09-01T16:00:00,62,1632,46,39,5,5,5,6,4,5,milk,swim,partner,office,,,,
5,2025-09-01T18:00:00,103,547,55,38,5,3,6,3,5,5,yoghurt,walk,friends,cafe,,,,
6,2025-09-01T20:00:00,127,848,45,50,3,5,2,3,2,1,cracker,bike,partner,park,,,,
7,2025-09-01T22:00:00,104,1369,45,69,6,3,2,1,6,1,oatmeal,yoga,friends,office,,,,
8,2025-09-02T00:00:00,147,1062,52,52,6,2,4,5,1,3,oatmeal,tennis,partner,office,,,,
9,2025-09-02T02:00:00,79,1211,45,43,4,1,4,4,2,3,milk,swim,colleagues,office,,,,
10,2025-09-02T04:00:00,130,1136,65,59,1,7,2,2,2,6,milk,yoga,partner,office,,Yes,,Yes
11,2025-09-02T06:00:00,136,660,63,40,5,2,3,4,7,1,yoghurt,tennis,relatives,park,,Yes,,Yes
12,2025-09-02T08:00:00,97,1294,62,63,4,4,6,5,2,2,cracker,swim,friends,office,,Yes,,Yes
13,2025-09-02T10:00:00,146,909,55,46,2,7,6,2,6,2,cracker,yoga,colleagues,home,,,,
14,2025-09-02T12:00:00,119,489,45,39,2,6,2,5,2,6,oatmeal,swim,partner,park,,,,
