,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,Filter B2
0,0,2025-09-01T08:00:00,121,848,35,37,5,4,6,1,7,5,ψωμί,τέννις,σύντροφος,δρόμος,Yes,Yes,
1,1,2025-09-01T10:00:00,68,613,62,45,3,4,5,6,1,1,φρούτο,τέννις,σύντροφος,γραφείο,Yes,,
2,2,2025-09-01T12:00:00,116,1514,53,64,1,6,3,4,4,4,βρώμη,κολύμπι,συγγενείς,γραφείο,Yes,,
3,3,2025-09-01T14:00:00,136,1153,39,45,7,1,4,5,3,7,κράκερ,ποδήλατο,συνάδελφοι,δρόμος,,,
4,4,2025-09-01T16:00:00,135,1734,64,45,1,3,7,7,6,3,ψωμί,γιόγκα,συνάδελφοι,μαγαζί,Yes,,
5,5,2025-09-01T18:00:00,106,699,31,55,2,4,1,2,2,6,βρώμη,γιόγκα,φίλοι,πάρκο,Yes,,Yes
6,6,2025-09-01T20:00:00,117,541,66,68,4,1,6,3,5,2,κράκερ,περπάτημα,συνάδελφοι,σπίτι,Yes,,
7,7,2025-09-01T22:00:00,93,1071,33,38,2,6,5,4,2,7,γάλα,τέννις,γνωστοί,σπίτι,,,
8,8,2025-09-02T00:00:00,108,781,43,45,4,3,2,3,5,6,γιαούρτι,γιόγκα,ξένοι,σπίτι,Yes,,
9,9,2025-09-02T02:00:00,70,1629,45,65,4,3,7,5,4,2,φρούτο,γκολφ,φίλοι,μαγαζί,Yes,,
10,10,2025-09-02T04:00:00,121,1332,56,36,4,2,3,6,5,2,γιαούρτι,ποδήλατο,συγγενείς,δρόμος,Yes,Yes,
11,11,2025-09-02T06:00:00,114,1441,37,45,4,7,1,1,1,3,βρώμη,περπάτημα,ξένοι,γραφείο,Yes,,
12,12,2025-09-02T08:00:00,85,1233,50,52,3,1,3,6,3,6,ψωμί,ποδήλατο,σύντροφος,σπίτι,Yes,,Yes
13,13,2025-09-02T10:00:00,94,980,48,57,2,6,4,6,2,1,βρώμη,ποδήλατο,συγγενείς,μαγαζί,Yes,,Yes
14,14,2025-09-02T12:00:00,126,474,58,31,5,5,1,1,5,6,κράκερ,τέννις,συνάδελφοι,δρόμος,Yes,Yes,
