,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T08:00:00,146,1345,50,53,6,1,6,6,1,7,κράκερ,γιόγκα,σύντροφος,πάρκο,,
1,1,2025-09-01T10:00:00,115,1735,69,61,1,1,4,2,7,1,γιαούρτι,τέννις,συγγενείς,σπίτι,Yes,Yes
2,2,2025-09-01T12:00:00,112,1043,38,46,1,6,4,3,7,2,γάλα,κολύμπι,σύντροφος,γραφείο,,
3,3,2025-09-01T14:00:00,82,1400,67,45,5,1,4,5,2,6,φρούτο,τέννις,συγγενείς,σπίτι,Yes,Yes
4,4,2025-09-01T16:00:00,88,541,66,33,3,7,3,3,5,1,γιαούρτι,γιόγκα,συγγενείς,σπίτι,Yes,Yes
5,5,2025-09-01T18:00:00,86,1444,44,61,2,5,7,5,5,2,φρούτο,γιόγκα,συγγενείς,σπίτι,Yes,Yes
6,6,2025-09-01T20:00:00,95,614,52,51,3,3,3,6,1,2,κράκερ,ποδήλατο,σύντροφος,δρόμος,,
7,7,2025-09-01T22:00:00,141,746,69,52,5,6,7,4,7,2,ψωμί,περπάτημα,σύντροφος,καφετέρια,,
8,8,2025-09-02T00:00:00,95,677,50,52,2,4,4,5,2,1,βρώμη,κολύμπι,συνάδελφοι,σπίτι,Yes,
9,9,2025-09-02T02:00:00,132,1401,32,55,1,5,5,5,2,4,βρώμη,περπάτημα,συγγενείς,καφετέρια,,
10,10,2025-09-02T04:00:00,98,1615,70,61,1,5,1,7,7,4,γιαούρτι,περπάτημα,φίλοι,γραφείο,,
11,11,2025-09-02T06:00:00,136,1688,53,44,3,6,1,4,5,2,βρώμη,γκολφ,συγγενείς,σπίτι,Yes,Yes
12,12,2025-09-02T08:00:00,95,1175,34,39,7,4,6,6,5,3,ψωμί,περπάτημα,συγγενείς,γραφείο,,
13,13,2025-09-02T10:00:00,113,1377,42,35,5,1,4,6,6,5,κράκερ,κολύμπι,συγγενείς,σπίτι,Yes,Yes
14,14,2025-09-02T12:00:00,139,1478,31,41,7,7,2,6,7,1,φρούτο,γκολφ,γείτονες,μαγαζί,,
15,15,2025-09-02T14:00:00,79,1149,38,43,5,6,7,2,4,2,κράκερ,γιόγκα,συγγενείς,σπίτι,Yes,Yes
16,16,2025-09-02T16:00:00,80,961,51,64,4,2,3,1,4,3,ψωμί,περπάτημα,ξένοι,καφετέρια,,
17,17,2025-09-02T18:00:00,122,1331,36,61,6,4,5,5,4,3,γιαούρτι,γιόγκα,συγγενείς,σπίτι,Yes,Yes
18,18,2025-09-02T20:00:00,86,963,37,43,6,5,3,6,6,3,ψωμί,κολύμπι,συγγενείς,σπίτι,Yes,Yes
19,19,2025-09-02T22:00:00,107,1132,60,61,6,4,3,1,6,1,γάλα,κολύμπι,συγγενείς,σπίτι,Yes,Yes
