,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T08:00:00,133,963,36,34,5,3,6,2,5,3,4,yoghurt,golf,strangers,cafe,,
1,2025-09-01T10:00:00,64,1058,49,56,5,2,6,6,3,4,7,milk,bike,relatives,home,Yes,Yes
2,2025-09-01T12:00:00,84,848,47,35,7,1,2,6,2,5,3,yoghurt,walk,relatives,home,Yes,Yes
3,2025-09-01T14:00:00,86,1470,68,66,2,3,3,7,4,5,7,bread,swim,colleagues,street,,
4,2025-09-01T16:00:00,84,1520,70,68,7,2,4,5,2,1,5,oatmeal,bike,strangers,office,,
5,2025-09-01T18:00:00,84,801,59,53,1,3,2,2,6,7,5,yoghurt,walk,neighbours,home,Yes,
6,2025-09-01T20:00:00,106,1260,41,33,7,6,6,4,2,3,2,fruit,yoga,neighbours,park,,
7,2025-09-01T22:00:00,64,662,67,57,5,4,3,7,6,6,5,yoghurt,tennis,relatives,store,,
8,2025-09-02T00:00:00,146,1285,60,55,6,6,3,2,3,6,6,cracker,walk,friends,cafe,,
9,2025-09-02T02:00:00,73,1354,34,47,2,7,6,6,2,5,6,milk,tennis,relatives,home,Yes,Yes
10,2025-09-02T04:00:00,91,1268,36,44,3,6,3,7,1,7,2,cracker,yoga,relatives,home,Yes,Yes
11,2025-09-02T06:00:00,130,740,35,70,5,1,5,5,6,4,1,fruit,bike,partner,store,,
12,2025-09-02T08:00:00,136,1376,38,47,5,6,1,5,1,4,3,bread,bike,relatives,home,Yes,Yes
13,2025-09-02T10:00:00,117,494,70,34,2,4,7,4,3,2,6,yoghurt,golf,relatives,home,Yes,Yes
14,2025-09-02T12:00:00,101,406,46,65,6,4,6,6,2,4,3,fruit,bike,relatives,home,Yes,Yes
15,2025-09-02T14:00:00,64,1413,56,66,1,4,7,3,6,3,4,bread,tennis,relatives,home,Yes,Yes
16,2025-09-02T16:00:00,143,487,43,46,2,3,2,6,1,3,6,yoghurt,golf,relatives,home,Yes,Yes
17,2025-09-02T18:00:00,100,1177,37,66,3,2,5,6,5,2,7,yoghurt,golf,relatives,home,Yes,Yes
18,2025-09-02T20:00:00,149,1132,54,53,2,4,2,5,4,4,5,oatmeal,swim,neighbours,office,,
19,2025-09-02T22:00:00,61,1191,35,46,3,3,6,4,4,5,3,milk,yoga,relatives,home,Yes,Yes
