,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T08:00:00,133,963,36,34,5,3,6,2,5,3,4,γιαούρτι,γκολφ,ξένοι,καφετέρια,,
1,1,2025-09-01T10:00:00,64,1058,49,56,5,2,6,6,3,4,7,γάλα,ποδήλατο,συγγενείς,σπίτι,Yes,Yes
2,2,2025-09-01T12:00:00,84,848,47,35,7,1,2,6,2,5,3,γιαούρτι,περπάτημα,συγγενείς,σπίτι,Yes,Yes
3,3,2025-09-01T14:00:00,86,1470,68,66,2,3,3,7,4,5,7,ψωμί,κολύμπι,συνάδελφοι,δρόμος,,
4,4,2025-09-01T16:00:00,84,1520,70,68,7,2,4,5,2,1,5,βρώμη,ποδήλατο,ξένοι,γραφείο,,
5,5,2025-09-01T18:00:00,84,801,59,53,1,3,2,2,6,7,5,γιαούρτι,περπάτημα,γείτονες,σπίτι,Yes,
6,6,2025-09-01T20:00:00,106,1260,41,33,7,6,6,4,2,3,2,φρούτο,γιόγκα,γείτονες,πάρκο,,
7,7,2025-09-01T22:00:00,64,662,67,57,5,4,3,7,6,6,5,γιαούρτι,τέννις,συγγενείς,μαγαζί,,
8,8,2025-09-02T00:00:00,146,1285,60,55,6,6,3,2,3,6,6,κράκερ,περπάτημα,φίλοι,καφετέρια,,
9,9,2025-09-02T02:00:00,73,1354,34,47,2,7,6,6,2,5,6,γάλα,τέννις,συγγενείς,σπίτι,Yes,Yes
10,10,2025-09-02T04:00:00,91,1268,36,44,3,6,3,7,1,7,2,κράκερ,γιόγκα,συγγενείς,σπίτι,Yes,Yes
11,11,2025-09-02T06:00:00,130,740,35,70,5,1,5,5,6,4,1,φρούτο,ποδήλατο,σύντροφος,μαγαζί,,
12,12,2025-09-02T08:00:00,136,1376,38,47,5,6,1,5,1,4,3,ψωμί,ποδήλατο,συγγενείς,σπίτι,Yes,Yes
13,13,2025-09-02T10:00:00,117,494,70,34,2,4,7,4,3,2,6,γιαούρτι,γκολφ,συγγενείς,σπίτι,Yes,Yes
14,14,2025-09-02T12:00:00,101,406,46,65,6,4,6,6,2,4,3,φρούτο,ποδήλατο,συγγενείς,σπίτι,Yes,Yes
15,15,2025-09-02T14:00:00,64,1413,56,66,1,4,7,3,6,3,4,ψωμί,τέννις,συγγενείς,σπίτι,Yes,Yes
16,16,2025-09-02T16:00:00,143,487,43,46,2,3,2,6,1,3,6,γιαούρτι,γκολφ,συγγενείς,σπίτι,Yes,Yes
17,17,2025-09-02T18:00:00,100,1177,37,66,3,2,5,6,5,2,7,γιαούρτι,γκολφ,συγγενείς,σπίτι,Yes,Yes
18,18,2025-09-02T20:00:00,149,1132,54,53,2,4,2,5,4,4,5,βρώμη,κολύμπι,γείτονες,γραφείο,,
19,19,2025-09-02T22:00:00,61,1191,35,46,3,3,6,4,4,5,3,γάλα,γιόγκα,συγγενείς,σπίτι,Yes,Yes
