,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T08:00:00,137,1014,58,58,6,7,5,6,5,1,ψωμί,περπάτημα,ξένοι,γραφείο,Yes,Yes
1,1,2025-09-01T10:00:00,106,1735,50,42,3,5,2,2,4,6,ψωμί,κολύμπι,γείτονες,γραφείο,Yes,Yes
2,2,2025-09-01T12:00:00,70,988,46,59,2,4,2,3,7,2,γιαούρτι,γιόγκα,σύντροφος,γραφείο,Yes,Yes
3,3,2025-09-01T14:00:00,71,777,58,43,5,6,5,5,5,1,γάλα,περπάτημα,σύντροφος,σπίτι,,
4,4,2025-09-01T16:00:00,88,1793,54,45,6,5,2,7,6,4,βρώμη,ποδήλατο,συγγενείς,γραφείο,Yes,Yes
5,5,2025-09-01T18:00:00,139,1622,61,34,5,4,2,7,5,5,κράκερ,περπάτημα,συνάδελφοι,καφετέρια,,
6,6,2025-09-01T20:00:00,144,400,47,53,5,5,2,3,4,6,ψωμί,ποδήλατο,συγγενείς,πάρκο,,
7,7,2025-09-01T22:00:00,92,1775,49,37,5,3,6,3,1,1,φρούτο,γκολφ,ξένοι,γραφείο,Yes,Yes
8,8,2025-09-02T00:00:00,100,1604,55,51,6,4,7,5,5,3,ψωμί,περπάτημα,σύντροφος,γραφείο,Yes,Yes
9,9,2025-09-02T02:00:00,101,1696,39,46,3,4,2,3,4,6,φρούτο,κολύμπι,συγγενείς,καφετέρια,,
10,10,2025-09-02T04:00:00,143,1193,67,59,2,4,1,3,3,3,βρώμη,γιόγκα,σύντροφος,γραφείο,Yes,Yes
11,11,2025-09-02T06:00:00,100,1431,32,39,7,6,2,2,7,1,βρώμη,ποδήλατο,σύντροφος,μαγαζί,,
12,12,2025-09-02T08:00:00,88,1402,64,59,5,7,5,2,2,1,φρούτο,ποδήλατο,φίλοι,γραφείο,Yes,Yes
13,13,2025-09-02T10:00:00,105,867,35,34,5,6,1,6,7,2,βρώμη,κολύμπι,ξένοι,γραφείο,Yes,Yes
14,14,2025-09-02T12:00:00,60,429,36,65,6,5,2,6,5,5,κράκερ,τέννις,συνάδελφοι,γραφείο,Yes,Yes
15,15,2025-09-02T14:00:00,106,1366,70,35,2,6,6,4,3,2,γάλα,τέννις,γείτονες,καφετέρια,,
16,16,2025-09-02T16:00:00,71,1737,56,49,5,5,6,6,6,3,γιαούρτι,τέννις,σύντροφος,δρόμος,,
17,17,2025-09-02T18:00:00,134,548,42,35,4,3,1,4,6,2,βρώμη,ποδήλατο,ξένοι,γραφείο,Yes,Yes
