,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T10:00:00,135,995,46,63,3,3,1,4,5,5,γιαούρτι,κολύμπι,συνάδελφοι,καφετέρια,,
1,1,2025-09-01T11:00:00,105,1039,65,66,3,3,4,6,6,6,φρούτο,γιόγκα,σύντροφος,σπίτι,,
2,2,2025-09-01T12:00:00,110,831,51,35,5,2,4,6,5,3,βρώμη,τέννις,φίλοι,πάρκο,Yes,Yes
3,3,2025-09-01T13:00:00,144,1671,50,32,4,3,4,2,7,6,φρούτο,τέννις,φίλοι,πάρκο,Yes,Yes
4,4,2025-09-01T14:00:00,82,889,57,44,6,4,4,3,4,5,γάλα,κολύμπι,σύντροφος,πάρκο,Yes,Yes
5,5,2025-09-01T15:00:00,141,960,58,51,6,2,3,4,4,5,γιαούρτι,τέννις,σύντροφος,σπίτι,,
6,6,2025-09-01T16:00:00,79,1248,61,54,2,6,7,7,2,1,φρούτο,περπάτημα,φίλοι,καφετέρια,,
7,7,2025-09-01T17:00:00,107,521,39,57,6,2,5,6,1,5,κράκερ,κολύμπι,συνάδελφοι,πάρκο,Yes,Yes
8,8,2025-09-01T18:00:00,122,1480,42,68,4,2,1,3,4,4,κράκερ,γιόγκα,συνάδελφοι,πάρκο,Yes,Yes
9,9,2025-09-01T19:00:00,104,1070,43,60,4,5,5,2,1,6,φρούτο,τέννις,συνάδελφοι,πάρκο,Yes,Yes
10,10,2025-09-01T20:00:00,70,1629,63,47,4,3,4,6,3,4,βρώμη,περπάτημα,συνάδελφοι,γραφείο,,
11,11,2025-09-01T21:00:00,63,445,35,42,5,3,2,4,2,7,φρούτο,ποδήλατο,σύντροφος,καφετέρια,,
12,12,2025-09-01T22:00:00,107,439,62,40,1,3,6,4,7,3,γιαούρτι,κολύμπι,σύντροφος,γραφείο,,
13,13,2025-09-01T23:00:00,106,1521,47,49,3,5,2,5,6,2,φρούτο,γιόγκα,συγγενείς,γραφείο,,
14,14,2025-09-02T00:00:00,74,1362,30,37,3,6,5,5,6,7,βρώμη,κολύμπι,φίλοι,καφετέρια,,
