,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,tm
0,0,2025-09-01T08:00:00,96,924,70,31,3,2,3,3,6,6,φρούτο,κολύμπι,φίλοι,γραφείο,Yes,Yes,2025-09-01 08:00:00
1,1,2025-09-01T10:00:00,78,943,51,31,3,2,6,2,4,3,κράκερ,γκολφ,συγγενείς,σπίτι,Yes,Yes,2025-09-01 10:00:00
2,2,2025-09-01T12:00:00,76,1355,48,49,6,2,3,2,7,5,κράκερ,γκολφ,φίλοι,πάρκο,Yes,Yes,2025-09-01 12:00:00
3,3,2025-09-01T14:00:00,82,613,66,63,3,4,3,3,3,5,βρώμη,τέννις,γνωστοί,πάρκο,Yes,Yes,2025-09-01 14:00:00
4,4,2025-09-01T16:00:00,128,1325,54,33,5,6,3,5,6,7,βρώμη,τέννις,φίλοι,γραφείο,,,2025-09-01 16:00:00
5,5,2025-09-01T18:00:00,83,1590,69,47,7,6,2,6,3,2,γιαούρτι,γιόγκα,φίλοι,καφετέρια,Yes,Yes,2025-09-01 18:00:00
6,6,2025-09-01T20:00:00,94,874,44,33,2,6,6,4,5,5,κράκερ,γιόγκα,σύντροφος,πάρκο,Yes,Yes,2025-09-01 20:00:00
7,7,2025-09-01T22:00:00,122,1726,39,42,6,2,7,1,5,2,βρώμη,γκολφ,συγγενείς,καφετέρια,Yes,Yes,2025-09-01 22:00:00
8,8,2025-09-02T00:00:00,108,1140,67,30,5,6,5,5,3,5,γάλα,γιόγκα,συγγενείς,γραφείο,Yes,Yes,2025-09-02 00:00:00
9,9,2025-09-02T02:00:00,144,1484,36,43,5,2,3,1,5,5,ψωμί,γκολφ,γνωστοί,γραφείο,Yes,Yes,2025-09-02 02:00:00
10,10,2025-09-02T04:00:00,104,1057,62,51,5,1,4,1,5,5,ψωμί,γιόγκα,ξένοι,πάρκο,Yes,Yes,2025-09-02 04:00:00
11,11,2025-09-02T06:00:00,98,964,54,38,3,3,3,4,7,6,γιαούρτι,κολύμπι,ξένοι,δρόμος,Yes,Yes,2025-09-02 06:00:00
12,12,2025-09-02T08:00:00,115,777,69,61,2,5,5,3,5,2,βρώμη,ποδήλατο,γνωστοί,δρόμος,Yes,Yes,2025-09-02 08:00:00
13,13,2025-09-02T10:00:00,80,411,68,32,2,1,5,6,4,1,φρούτο,γκολφ,γνωστοί,πάρκο,,,2025-09-02 10:00:00
14,14,2025-09-02T12:00:00,141,685,56,38,2,2,3,2,3,3,γιαούρτι,περπάτημα,συγγενείς,πάρκο,Yes,Yes,2025-09-02 12:00:00
