,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,tm
0,0,2025-09-01T10:00:00,99,1105,64,50,4,5,2,6,1,7,φρούτο,γκολφ,γνωστοί,γραφείο,,,2025-09-01 10:00:00
1,1,2025-09-01T11:00:00,87,563,30,59,6,4,5,4,2,4,βρώμη,γκολφ,ξένοι,δρόμος,Yes,,2025-09-01 11:00:00
2,2,2025-09-01T12:00:00,113,926,54,68,6,4,4,3,6,7,κράκερ,ποδήλατο,φίλοι,σπίτι,Yes,,2025-09-01 12:00:00
3,3,2025-09-01T13:00:00,95,552,55,50,2,3,2,3,2,7,φρούτο,περπάτημα,συνάδελφοι,δρόμος,Yes,,2025-09-01 13:00:00
4,4,2025-09-01T14:00:00,128,897,56,56,1,5,1,2,5,1,ψωμί,τέννις,φίλοι,μαγαζί,Yes,Yes,2025-09-01 14:00:00
5,5,2025-09-01T15:00:00,84,546,34,61,7,4,3,3,4,2,βρώμη,γκολφ,σύντροφος,μαγαζί,Yes,Yes,2025-09-01 15:00:00
6,6,2025-09-01T16:00:00,124,424,59,63,3,2,3,3,3,6,φρούτο,κολύμπι,γνωστοί,πάρκο,Yes,Yes,2025-09-01 16:00:00
7,7,2025-09-01T17:00:00,147,1570,70,59,5,4,3,4,2,4,φρούτο,γιόγκα,ξένοι,δρόμος,Yes,,2025-09-01 17:00:00
8,8,2025-09-01T18:00:00,89,1166,59,58,1,6,7,1,2,5,ψωμί,τέννις,φίλοι,μαγαζί,Yes,,2025-09-01 18:00:00
9,9,2025-09-01T19:00:00,117,1144,51,33,7,6,3,4,2,4,βρώμη,γιόγκα,συγγενείς,σπίτι,Yes,,2025-09-01 19:00:00
10,10,2025-09-01T20:00:00,95,816,44,38,3,4,7,4,3,2,κράκερ,γκολφ,ξένοι,πάρκο,Yes,Yes,2025-09-01 20:00:00
11,11,2025-09-01T21:00:00,97,1398,58,45,5,6,6,4,5,3,γιαούρτι,κολύμπι,συνάδελφοι,σπίτι,Yes,Yes,2025-09-01 21:00:00
12,12,2025-09-01T22:00:00,119,1011,47,30,5,4,4,5,3,6,ψωμί,γκολφ,γνωστοί,δρόμος,Yes,Yes,2025-09-01 22:00:00
13,13,2025-09-01T23:00:00,111,1701,68,51,6,4,5,5,1,6,κράκερ,τέννις,φίλοι,καφετέρια,Yes,,2025-09-01 23:00:00
14,14,2025-09-02T00:00:00,122,934,43,35,7,1,4,6,4,3,βρώμη,γκολφ,συγγενείς,δρόμος,,,2025-09-02 00:00:00
