,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,tm
0,2025-09-01T10:00:00,61,827,52,32,5,1,3,5,3,6,fruit,walk,partner,park,Yes,Yes,01/09/2025 10:00
1,2025-09-01T11:00:00,87,994,40,34,3,4,7,2,6,5,cracker,bike,friends,office,Yes,Yes,01/09/2025 11:00
2,2025-09-01T12:00:00,126,1358,42,43,6,4,2,6,5,5,cracker,yoga,colleagues,home,Yes,Yes,01/09/2025 12:00
3,2025-09-01T13:00:00,136,1174,34,56,6,3,7,4,5,4,fruit,walk,colleagues,park,,,01/09/2025 13:00
4,2025-09-01T14:00:00,141,824,33,58,3,5,3,2,6,6,yoghurt,swim,colleagues,park,,,01/09/2025 14:00
5,2025-09-01T15:00:00,147,1714,33,39,7,2,3,1,7,4,oatmeal,bike,friends,home,,,01/09/2025 15:00
6,2025-09-01T16:00:00,77,884,35,37,5,7,2,6,4,5,fruit,walk,relatives,park,,,01/09/2025 16:00
7,2025-09-01T17:00:00,83,843,35,51,1,5,4,4,4,3,oatmeal,swim,relatives,park,,,01/09/2025 17:00
8,2025-09-01T18:00:00,107,541,57,69,6,2,6,6,7,1,oatmeal,tennis,partner,office,Yes,Yes,01/09/2025 18:00
9,2025-09-01T19:00:00,119,1728,49,70,5,3,5,2,6,2,yoghurt,bike,relatives,park,Yes,Yes,01/09/2025 19:00
10,2025-09-01T20:00:00,77,1374,45,32,5,2,1,5,2,1,yoghurt,yoga,partner,home,Yes,Yes,01/09/2025 20:00
11,2025-09-01T21:00:00,127,1332,35,35,4,4,4,6,7,5,oatmeal,tennis,relatives,cafe,,,01/09/2025 21:00
12,2025-09-01T22:00:00,85,1111,65,31,3,3,2,4,6,2,cracker,yoga,partner,park,,,01/09/2025 22:00
13,2025-09-01T23:00:00,121,665,70,52,5,2,2,7,4,1,milk,tennis,partner,home,,,01/09/2025 23:00
14,2025-09-02T00:00:00,118,418,35,48,5,3,2,5,2,6,cracker,walk,relatives,park,,,02/09/2025 00:00
