,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T10:00:00,116,1786,51,52,7,2,2,7,6,3,γάλα,ποδήλατο,συνάδελφοι,πάρκο,,
1,1,2025-09-01T11:00:00,122,657,57,42,1,3,2,1,5,1,γάλα,περπάτημα,φίλοι,γραφείο,,
2,2,2025-09-01T12:00:00,108,1391,60,57,1,4,1,7,4,5,γιαούρτι,περπάτημα,συγγενείς,πάρκο,,
3,3,2025-09-01T13:00:00,98,1683,33,47,3,3,2,1,2,3,γάλα,τέννις,συνάδελφοι,καφετέρια,,
4,4,2025-09-01T14:00:00,148,434,48,43,7,6,4,7,3,2,φρούτο,κολύμπι,συγγενείς,πάρκο,,
5,5,2025-09-01T15:00:00,62,517,55,49,3,4,4,1,1,3,βρώμη,περπάτημα,φίλοι,καφετέρια,,
6,6,2025-09-01T16:00:00,141,584,42,67,4,5,3,4,6,3,γάλα,περπάτημα,σύντροφος,σπίτι,Yes,Yes
7,7,2025-09-01T17:00:00,82,680,39,61,3,5,4,2,5,4,βρώμη,περπάτημα,συνάδελφοι,καφετέρια,Yes,Yes
8,8,2025-09-01T18:00:00,130,1491,46,42,5,4,2,3,6,4,βρώμη,ποδήλατο,συνάδελφοι,καφετέρια,Yes,Yes
9,9,2025-09-01T19:00:00,122,1024,62,55,2,3,6,4,2,3,βρώμη,τέννις,συγγενείς,πάρκο,Yes,Yes
10,10,2025-09-01T20:00:00,81,574,53,50,5,4,3,2,2,7,κράκερ,περπάτημα,σύντροφος,πάρκο,Yes,Yes
11,11,2025-09-01T21:00:00,134,1038,65,42,6,2,4,2,1,2,γιαούρτι,περπάτημα,συνάδελφοι,πάρκο,Yes,Yes
12,12,2025-09-01T22:00:00,86,716,35,37,2,6,1,1,3,4,γάλα,κολύμπι,σύντροφος,καφετέρια,,
13,13,2025-09-01T23:00:00,150,1671,44,64,2,2,6,1,5,4,βρώμη,περπάτημα,συνάδελφοι,γραφείο,,
14,14,2025-09-02T00:00:00,90,493,37,55,2,4,2,7,2,2,γιαούρτι,ποδήλατο,φίλοι,γραφείο,,
