,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T22:00:00,67,711,43,36,7,5,3,3,3,2,βρώμη,γιόγκα,φίλοι,καφετέρια,Yes,
1,1,2025-09-01T23:00:00,113,1533,66,54,2,2,4,1,3,7,φρούτο,κολύμπι,συνάδελφοι,σπίτι,Yes,
2,2,2025-09-02T00:00:00,149,1026,53,40,6,6,2,5,1,5,βρώμη,γιόγκα,σύντροφος,γραφείο,Yes,
3,3,2025-09-02T01:00:00,91,1481,56,46,3,2,3,5,6,5,βρώμη,τέννις,σύντροφος,πάρκο,Yes,
4,4,2025-09-02T02:00:00,109,528,60,32,6,5,6,3,4,4,ψωμί,κολύμπι,συγγενείς,πάρκο,Yes,
5,5,2025-09-02T03:00:00,94,845,67,52,2,6,5,1,2,6,γάλα,ποδήλατο,συγγενείς,καφετέρια,Yes,
6,6,2025-09-02T04:00:00,127,425,48,58,2,6,2,3,2,6,βρώμη,κολύμπι,φίλοι,καφετέρια,Yes,
7,7,2025-09-02T05:00:00,122,984,63,69,7,4,4,5,3,4,γιαούρτι,γιόγκα,σύντροφος,γραφείο,Yes,Yes
8,8,2025-09-02T06:00:00,114,756,51,43,1,4,3,1,3,2,γιαούρτι,γιόγκα,σύντροφος,γραφείο,Yes,Yes
9,9,2025-09-02T07:00:00,148,886,45,61,5,2,6,2,5,5,γιαούρτι,γιόγκα,συνάδελφοι,πάρκο,Yes,Yes
10,10,2025-09-02T08:00:00,123,709,35,34,2,6,6,1,1,7,γιαούρτι,γιόγκα,φίλοι,σπίτι,,
11,11,2025-09-02T09:00:00,91,1592,53,67,4,5,3,1,6,2,γιαούρτι,τέννις,συγγενείς,πάρκο,Yes,Yes
12,12,2025-09-02T10:00:00,94,1289,41,49,3,6,1,5,2,5,γιαούρτι,ποδήλατο,φίλοι,καφετέρια,Yes,Yes
13,13,2025-09-02T11:00:00,117,890,58,38,5,7,2,5,2,2,γιαούρτι,γιόγκα,συγγενείς,πάρκο,Yes,Yes
14,14,2025-09-02T12:00:00,122,1096,68,56,5,5,4,5,5,6,κράκερ,περπάτημα,συγγενείς,γραφείο,Yes,
