,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T08:00:00,96,1238,70,54,3,2,3,3,6,6,φρούτο,κολύμπι,φίλοι,γραφείο,Yes,Yes
1,1,2025-09-01T10:00:00,78,820,51,41,3,2,6,4,4,3,κράκερ,γκολφ,συγγενείς,σπίτι,Yes,Yes
2,2,2025-09-01T12:00:00,76,683,48,35,6,2,3,2,7,5,κράκερ,γκολφ,φίλοι,πάρκο,,
3,3,2025-09-01T14:00:00,82,1688,66,45,3,4,3,2,3,5,βρώμη,τέννις,γνωστοί,πάρκο,Yes,Yes
4,4,2025-09-01T16:00:00,128,1572,54,51,5,6,3,3,6,7,βρώμη,τέννις,φίλοι,γραφείο,Yes,Yes
5,5,2025-09-01T18:00:00,83,580,69,55,7,6,2,4,3,2,γιαούρτι,γιόγκα,φίλοι,καφετέρια,Yes,Yes
6,6,2025-09-01T20:00:00,94,498,44,47,2,6,6,6,5,5,κράκερ,γιόγκα,σύντροφος,πάρκο,Yes,Yes
7,7,2025-09-01T22:00:00,122,1381,39,56,6,2,7,2,5,2,βρώμη,γκολφ,συγγενείς,καφετέρια,Yes,Yes
8,8,2025-09-02T00:00:00,108,938,67,58,5,6,5,5,3,5,γάλα,γιόγκα,συγγενείς,γραφείο,Yes,Yes
9,9,2025-09-02T02:00:00,144,1102,36,43,5,2,3,1,5,5,ψωμί,γκολφ,γνωστοί,γραφείο,Yes,Yes
10,10,2025-09-02T04:00:00,104,1017,62,58,5,1,4,3,5,5,ψωμί,γιόγκα,ξένοι,πάρκο,Yes,Yes
11,11,2025-09-02T06:00:00,98,1499,54,45,3,3,3,2,7,6,γιαούρτι,κολύμπι,ξένοι,δρόμος,Yes,Yes
12,12,2025-09-02T08:00:00,115,1304,69,32,2,5,5,4,5,2,βρώμη,ποδήλατο,γνωστοί,δρόμος,,
13,13,2025-09-02T10:00:00,80,423,68,45,2,1,5,1,4,6,φρούτο,γκολφ,γνωστοί,πάρκο,Yes,Yes
14,14,2025-09-02T12:00:00,141,754,56,48,2,2,3,1,3,3,γιαούρτι,περπάτημα,συγγενείς,πάρκο,Yes,Yes
