,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T08:00:00,96,1238,70,54,3,2,3,6,3,6,3,oatmeal,swim,colleagues,store,Yes,Yes
1,2025-09-01T10:00:00,78,820,51,41,3,2,6,5,4,3,2,bread,yoga,colleagues,street,Yes,Yes
2,2025-09-01T12:00:00,76,683,48,35,6,2,3,2,6,5,4,oatmeal,golf,partner,park,,
3,2025-09-01T14:00:00,82,1688,66,45,3,4,3,6,2,5,1,milk,golf,strangers,office,Yes,Yes
4,2025-09-01T16:00:00,128,1572,54,51,5,6,3,5,3,7,3,yoghurt,yoga,strangers,park,Yes,Yes
5,2025-09-01T18:00:00,83,580,69,55,7,6,2,2,4,2,5,bread,yoga,partner,store,Yes,Yes
6,2025-09-01T20:00:00,94,498,44,47,2,6,6,3,6,5,5,cracker,swim,partner,street,Yes,Yes
7,2025-09-01T22:00:00,122,1381,39,56,6,2,7,6,2,2,2,cracker,bike,neighbours,park,Yes,Yes
8,2025-09-02T00:00:00,108,938,67,58,5,6,5,1,5,5,6,milk,walk,strangers,street,Yes,Yes
9,2025-09-02T02:00:00,144,1102,36,43,5,2,3,4,1,5,4,cracker,tennis,colleagues,office,Yes,Yes
10,2025-09-02T04:00:00,104,1017,62,58,5,1,4,7,3,5,2,oatmeal,tennis,relatives,home,Yes,Yes
11,2025-09-02T06:00:00,98,1499,54,45,3,3,3,3,2,6,5,cracker,bike,relatives,store,Yes,Yes
12,2025-09-02T08:00:00,115,1304,69,32,2,5,5,4,4,2,5,cracker,swim,colleagues,office,,
13,2025-09-02T10:00:00,80,423,68,45,2,1,5,6,1,6,4,fruit,tennis,relatives,park,Yes,Yes
14,2025-09-02T12:00:00,141,754,56,48,2,2,3,6,1,3,4,milk,swim,partner,store,Yes,Yes
