,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,tm
0,2025-09-01T22:00:00,67,1151,62,35,7,5,6,6,5,1,bread,tennis,acquaintances,1,Yes,Yes,2025-09-01 22:00:00
1,2025-09-01T23:00:00,129,961,59,57,6,6,5,1,3,4,milk,swim,acquaintances,cafe,Yes,,2025-09-01 23:00:00
2,2025-09-02T00:00:00,147,1162,43,48,6,1,6,5,7,5,fruit,golf,colleagues,5,Yes,Yes,2025-09-02 00:00:00
3,2025-09-02T01:00:00,97,1137,41,33,2,5,1,5,6,1,fruit,bike,acquaintances,2,Yes,Yes,2025-09-02 01:00:00
4,2025-09-02T02:00:00,145,1112,61,37,4,4,5,5,4,3,yoghurt,walk,acquaintances,2,Yes,Yes,2025-09-02 02:00:00
5,2025-09-02T03:00:00,99,1145,45,50,4,2,2,3,5,6,oatmeal,swim,partner,3,Yes,Yes,2025-09-02 03:00:00
6,2025-09-02T04:00:00,116,1086,55,31,3,3,2,7,6,5,milk,yoga,relatives,1,Yes,Yes,2025-09-02 04:00:00
7,2025-09-02T05:00:00,143,625,53,40,4,6,6,2,5,1,milk,walk,acquaintances,cafe,Yes,,2025-09-02 05:00:00
8,2025-09-02T06:00:00,78,1153,68,64,3,5,6,6,7,6,milk,walk,strangers,6,Yes,Yes,2025-09-02 06:00:00
9,2025-09-02T07:00:00,64,919,32,55,5,4,7,2,3,2,yoghurt,golf,colleagues,store,,,2025-09-02 07:00:00
10,2025-09-02T08:00:00,76,1199,50,46,5,6,3,2,4,3,oatmeal,bike,relatives,3,Yes,Yes,2025-09-02 08:00:00
11,2025-09-02T09:00:00,63,1187,69,53,5,5,7,2,2,7,yoghurt,bike,acquaintances,4,Yes,Yes,2025-09-02 09:00:00
12,2025-09-02T10:00:00,100,1191,48,61,6,1,5,6,1,7,oatmeal,swim,relatives,2,Yes,Yes,2025-09-02 10:00:00
13,2025-09-02T11:00:00,71,1087,47,67,6,5,5,1,5,1,milk,tennis,acquaintances,1,Yes,Yes,2025-09-02 11:00:00
14,2025-09-02T12:00:00,69,1311,65,59,3,4,6,3,3,1,oatmeal,bike,acquaintances,park,Yes,,2025-09-02 12:00:00
