,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T10:00:00,105,848,62,36,2,6,7,7,4,6,γιαούρτι,κολύμπι,συγγενείς,καφετέρια,,
1,1,2025-09-01T11:00:00,123,1225,34,51,7,4,4,0,6,5,γάλα,περπάτημα,συγγενείς,σπίτι,,
2,2,2025-09-01T12:00:00,118,1494,64,46,3,5,3,7,5,2,βρώμη,ποδήλατο,φίλοι,καφετέρια,,
3,3,2025-09-01T13:00:00,110,1527,48,34,5,4,6,0,4,3,βρώμη,περπάτημα,σύντροφος,πάρκο,,
4,4,2025-09-01T14:00:00,134,582,51,43,3,6,1,7,6,4,γάλα,περπάτημα,σύντροφος,καφετέρια,,
5,5,2025-09-01T15:00:00,136,774,46,67,2,6,2,0,5,5,φρούτο,κολύμπι,σύντροφος,καφετέρια,,
6,6,2025-09-01T16:00:00,87,1595,43,49,2,1,5,7,6,3,κράκερ,ποδήλατο,σύντροφος,καφετέρια,,
7,7,2025-09-01T17:00:00,139,1170,53,52,5,7,1,3,7,4,βρώμη,περπάτημα,συγγενείς,γραφείο,Yes,Yes
8,8,2025-09-01T18:00:00,83,1693,32,58,2,6,2,4,5,5,φρούτο,τέννις,φίλοι,καφετέρια,Yes,Yes
9,9,2025-09-01T19:00:00,140,674,57,46,3,4,3,2,3,7,βρώμη,ποδήλατο,φίλοι,σπίτι,Yes,Yes
10,10,2025-09-01T20:00:00,147,1516,41,61,3,7,5,7,2,5,βρώμη,περπάτημα,φίλοι,πάρκο,,
11,11,2025-09-01T21:00:00,65,1542,60,48,7,3,6,3,7,3,βρώμη,γιόγκα,συνάδελφοι,σπίτι,Yes,Yes
12,12,2025-09-01T22:00:00,131,1698,55,62,5,1,6,4,1,2,γάλα,τέννις,συνάδελφοι,πάρκο,Yes,Yes
13,13,2025-09-01T23:00:00,142,624,38,62,7,3,7,4,3,1,κράκερ,τέννις,σύντροφος,γραφείο,Yes,Yes
14,14,2025-09-02T00:00:00,118,1352,36,51,1,4,5,7,2,2,κράκερ,γιόγκα,συγγενείς,γραφείο,,
