,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,Filter B2,tm
0,2025-09-01T08:00:00,63,593,48,51,3,3,6,6,3,4,fruit,tennis,friends,office,,,,2025-09-01 08:00:00
1,2025-09-01T10:00:00,119,515,69,32,5,3,1,3,4,4,milk,swim,acquaintances,office,,,,2025-09-01 10:00:00
2,2025-09-01T12:00:00,104,1001,66,37,3,7,5,2,6,3,bread,walk,strangers,office,,,,2025-09-01 12:00:00
3,2025-09-01T14:00:00,102,1649,33,70,1,5,2,5,3,7,fruit,bike,acquaintances,store,,,,2025-09-01 14:00:00
4,2025-09-01T16:00:00,90,725,48,63,2,6,5,2,3,7,yoghurt,tennis,relatives,cafe,,,,2025-09-01 16:00:00
5,2025-09-01T18:00:00,115,746,67,43,2,5,5,6,4,6,yoghurt,walk,partner,park,Yes,,,2025-09-01 18:00:00
6,2025-09-01T20:00:00,65,465,41,44,6,1,1,5,2,3,oatmeal,tennis,friends,office,Yes,,,2025-09-01 20:00:00
7,2025-09-01T22:00:00,66,1096,53,42,6,4,4,1,4,2,oatmeal,golf,colleagues,home,Yes,,Yes,2025-09-01 22:00:00
8,2025-09-02T00:00:00,136,1303,33,40,2,5,4,7,6,6,cracker,tennis,colleagues,home,Yes,Yes,,2025-09-02 00:00:00
9,2025-09-02T02:00:00,96,1515,49,45,1,6,4,5,5,6,fruit,swim,strangers,cafe,Yes,,,2025-09-02 02:00:00
10,2025-09-02T04:00:00,72,469,48,41,4,1,4,2,5,6,fruit,yoga,friends,home,Yes,,,2025-09-02 04:00:00
11,2025-09-02T06:00:00,112,808,35,60,5,2,5,3,1,3,cracker,swim,strangers,home,,,,2025-09-02 06:00:00
12,2025-09-02T08:00:00,126,1587,68,64,2,5,4,3,2,3,bread,yoga,friends,park,,,,2025-09-02 08:00:00
13,2025-09-02T10:00:00,74,802,61,56,4,3,3,5,4,1,cracker,swim,partner,cafe,,,,2025-09-02 10:00:00
14,2025-09-02T12:00:00,85,1312,64,69,4,4,7,6,2,3,bread,yoga,relatives,store,,,,2025-09-02 12:00:00
