,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2,tm
0,0,2025-09-01T08:00:00,76,1722,52,45,5,2,2,6,7,3,κράκερ,κολύμπι,σύντροφος,πάρκο,,,,,01/09/2025 08:00
1,1,2025-09-01T10:00:00,120,728,54,45,4,3,5,6,3,4,γάλα,γιόγκα,συγγενείς,γραφείο,,,,,01/09/2025 10:00
2,2,2025-09-01T12:00:00,90,732,51,45,2,3,5,2,1,5,γάλα,τέννις,φίλοι,καφετέρια,,,,,01/09/2025 12:00
3,3,2025-09-01T14:00:00,78,1429,63,38,6,3,4,2,6,7,βρώμη,γιόγκα,φίλοι,πάρκο,,Yes,,Yes,01/09/2025 14:00
4,4,2025-09-01T16:00:00,104,1206,54,66,5,5,4,6,5,1,φρούτο,γιόγκα,συγγενείς,γραφείο,,,,,01/09/2025 16:00
5,5,2025-09-01T18:00:00,104,683,42,54,6,2,4,7,6,7,βρώμη,τέννις,συνάδελφοι,πάρκο,Yes,,Yes,,01/09/2025 18:00
6,6,2025-09-01T20:00:00,103,1349,35,66,6,3,4,5,2,6,βρώμη,τέννις,συνάδελφοι,γραφείο,,,,,01/09/2025 20:00
7,7,2025-09-01T22:00:00,101,1623,49,30,5,6,2,3,3,1,κράκερ,κολύμπι,συνάδελφοι,καφετέρια,,,,,01/09/2025 22:00
8,8,2025-09-02T00:00:00,84,1570,67,66,4,3,6,1,5,3,γιαούρτι,τέννις,συγγενείς,πάρκο,,,,,02/09/2025 00:00
9,9,2025-09-02T02:00:00,83,703,36,45,7,2,6,6,1,3,κράκερ,περπάτημα,φίλοι,σπίτι,,,,,02/09/2025 02:00
10,10,2025-09-02T04:00:00,122,819,57,66,2,7,4,7,3,2,φρούτο,γιόγκα,συνάδελφοι,καφετέρια,,,,,02/09/2025 04:00
11,11,2025-09-02T06:00:00,89,409,55,30,5,4,3,6,5,2,γάλα,ποδήλατο,συνάδελφοι,σπίτι,,,,,02/09/2025 06:00
12,12,2025-09-02T08:00:00,121,1766,36,45,6,1,5,5,7,2,γιαούρτι,ποδήλατο,σύντροφος,πάρκο,,,,,02/09/2025 08:00
13,13,2025-09-02T10:00:00,131,709,38,30,4,4,4,7,5,5,κράκερ,περπάτημα,συγγενείς,καφετέρια,,,,,02/09/2025 10:00
14,14,2025-09-02T12:00:00,138,1418,57,45,6,2,3,4,3,4,γιαούρτι,περπάτημα,φίλοι,καφετέρια,,,,,02/09/2025 12:00
