,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,2025-09-01T08:00:00,116,1204,69,69,5,3,4,6,2,4,milk,tennis,colleagues,office,,,,
1,2025-09-01T10:00:00,127,418,65,52,6,4,3,4,6,7,oatmeal,swim,colleagues,office,,Yes,,Yes
2,2025-09-01T12:00:00,132,703,42,63,1,6,3,4,3,2,milk,yoga,relatives,office,,,,
3,2025-09-01T14:00:00,145,791,68,59,6,2,2,1,4,3,fruit,swim,partner,home,,,,
4,2025-09-01T16:00:00,127,1683,52,54,3,5,1,6,7,6,milk,swim,relatives,park,,,,
5,2025-09-01T18:00:00,143,1472,57,43,4,6,2,1,6,5,milk,swim,friends,office,,,,
6,2025-09-01T20:00:00,63,623,38,39,1,6,5,4,7,6,milk,swim,partner,office,,,,
7,2025-09-01T22:00:00,102,1516,68,47,1,1,7,6,4,7,yoghurt,tennis,colleagues,home,,,,
8,2025-09-02T00:00:00,145,594,58,36,2,7,2,2,4,2,oatmeal,swim,partner,office,,,,
9,2025-09-02T02:00:00,118,1264,69,33,7,2,1,5,5,3,cracker,bike,relatives,home,,,,
10,2025-09-02T04:00:00,141,577,33,41,2,3,7,7,4,2,fruit,tennis,relatives,cafe,Yes,,Yes,
11,2025-09-02T06:00:00,70,402,42,66,6,5,4,5,3,2,oatmeal,swim,friends,office,,,,
12,2025-09-02T08:00:00,102,1620,44,31,7,7,3,6,3,3,milk,swim,colleagues,park,,,,
13,2025-09-02T10:00:00,82,693,37,49,7,3,2,2,2,7,milk,yoga,colleagues,office,,,,
14,2025-09-02T12:00:00,109,702,36,45,3,7,5,4,3,4,milk,bike,partner,home,,,,
