,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,Filter B2
0,0,2025-09-01T08:00:00,89,773,56,52,6,3,4,3,3,6,γιαούρτι,ποδήλατο,σύντροφος,γραφείο,Yes,,
1,1,2025-09-01T10:00:00,74,700,45,57,3,3,6,1,3,5,φρούτο,κολύμπι,συγγενείς,πάρκο,Yes,,Yes
2,2,2025-09-01T12:00:00,119,1562,52,36,5,5,6,4,2,2,κράκερ,ποδήλατο,φίλοι,γραφείο,,,
3,3,2025-09-01T14:00:00,67,1213,33,38,5,1,6,3,5,3,γιαούρτι,γιόγκα,φίλοι,καφετέρια,,,
4,4,2025-09-01T16:00:00,108,904,32,64,4,4,3,4,1,3,βρώμη,γιόγκα,συγγενείς,γραφείο,Yes,,
5,5,2025-09-01T18:00:00,93,641,38,34,4,2,3,7,1,3,βρώμη,γιόγκα,σύντροφος,πάρκο,Yes,,
6,6,2025-09-01T20:00:00,65,862,57,59,6,2,3,5,2,2,γιαούρτι,κολύμπι,συγγενείς,σπίτι,Yes,,
7,7,2025-09-01T22:00:00,106,1756,47,46,7,1,6,4,2,6,βρώμη,ποδήλατο,συνάδελφοι,πάρκο,,,
8,8,2025-09-02T00:00:00,63,1664,43,68,4,6,7,5,3,7,κράκερ,γιόγκα,συγγενείς,καφετέρια,,,
9,9,2025-09-02T02:00:00,99,1078,53,55,5,2,2,5,1,4,βρώμη,ποδήλατο,σύντροφος,σπίτι,,,
10,10,2025-09-02T04:00:00,66,1466,48,41,1,2,2,1,1,4,γάλα,ποδήλατο,συγγενείς,σπίτι,,,
11,11,2025-09-02T06:00:00,68,1391,42,49,5,3,2,6,2,2,κράκερ,τέννις,συγγενείς,πάρκο,,,
12,12,2025-09-02T08:00:00,98,488,62,61,5,6,2,6,2,2,γάλα,ποδήλατο,φίλοι,γραφείο,,,
13,13,2025-09-02T10:00:00,134,713,58,32,7,1,4,6,3,3,βρώμη,ποδήλατο,συνάδελφοι,πάρκο,Yes,,
14,14,2025-09-02T12:00:00,71,800,40,66,6,4,5,6,1,3,γάλα,γιόγκα,φίλοι,γραφείο,Yes,Yes,
