,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,2025-09-01T08:00:00,72,1410,39,58,2,5,7,2,6,3,cracker,golf,friends,cafe,,,,
1,2025-09-01T10:00:00,136,720,39,67,4,3,1,6,2,5,yoghurt,golf,strangers,home,,Yes,,Yes
2,2025-09-01T12:00:00,129,1723,39,47,5,2,6,1,3,4,cracker,yoga,relatives,home,,,,
3,2025-09-01T14:00:00,83,1662,48,63,5,4,6,4,4,3,fruit,tennis,colleagues,home,Yes,,Yes,
4,2025-09-01T16:00:00,105,443,42,57,3,7,6,3,5,4,yoghurt,bike,colleagues,home,Yes,,Yes,
5,2025-09-01T18:00:00,100,436,31,42,4,6,5,3,1,1,cracker,yoga,friends,home,Yes,,Yes,
6,2025-09-01T20:00:00,119,1158,64,54,4,4,6,4,2,3,bread,golf,relatives,home,Yes,,Yes,
7,2025-09-01T22:00:00,131,1715,52,65,6,6,4,3,3,4,yoghurt,walk,friends,home,Yes,,Yes,
8,2025-09-02T00:00:00,68,934,56,64,4,2,4,1,5,2,fruit,tennis,friends,park,,,,
9,2025-09-02T02:00:00,63,703,37,50,3,4,4,3,5,2,bread,golf,relatives,home,Yes,,Yes,
10,2025-09-02T04:00:00,135,991,70,54,4,7,1,2,5,6,oatmeal,yoga,relatives,street,,,,
11,2025-09-02T06:00:00,99,441,64,31,1,4,6,4,6,4,bread,swim,strangers,home,Yes,,Yes,
12,2025-09-02T08:00:00,129,710,35,40,1,4,4,6,6,2,fruit,golf,colleagues,home,,Yes,,Yes
13,2025-09-02T10:00:00,60,1013,43,62,5,3,2,3,4,5,oatmeal,golf,partner,home,Yes,,Yes,
14,2025-09-02T12:00:00,100,1094,59,47,7,4,4,7,1,6,yoghurt,tennis,acquaintances,park,,,,
