,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,2025-09-01T08:00:00,101,459,68,58,2,5,2,6,1,3,oatmeal,swim,partner,park,,,,
1,2025-09-01T10:00:00,110,1775,70,62,3,2,3,2,7,7,oatmeal,swim,friends,park,,,,
2,2025-09-01T12:00:00,143,1751,44,42,7,4,6,2,2,2,yoghurt,bike,partner,park,,,,
3,2025-09-01T14:00:00,102,1315,59,36,6,2,3,6,5,1,oatmeal,walk,friends,home,,,,
4,2025-09-01T16:00:00,106,1262,42,49,2,3,3,6,3,3,cracker,walk,partner,home,,,,
5,2025-09-01T18:00:00,113,620,58,32,2,7,1,2,6,4,cracker,tennis,partner,cafe,,,,
6,2025-09-01T20:00:00,77,421,33,69,2,6,2,2,5,1,fruit,yoga,friends,home,Yes,,Yes,
7,2025-09-01T22:00:00,106,1140,51,44,1,3,4,5,3,2,milk,swim,friends,park,,,,
8,2025-09-02T00:00:00,117,483,38,65,6,6,2,7,2,3,milk,walk,friends,home,,,,
9,2025-09-02T02:00:00,131,666,53,46,2,2,5,2,5,4,cracker,bike,friends,office,,,,
10,2025-09-02T04:00:00,68,739,40,56,4,3,3,7,1,2,cracker,swim,friends,home,,,,
11,2025-09-02T06:00:00,87,442,48,38,4,6,4,6,2,3,oatmeal,swim,relatives,park,,,,
12,2025-09-02T08:00:00,68,1050,56,30,2,5,7,5,4,6,cracker,walk,partner,park,,,,
13,2025-09-02T10:00:00,133,1017,63,54,5,2,4,4,6,7,fruit,tennis,relatives,cafe,,Yes,,Yes
14,2025-09-02T12:00:00,122,1579,66,40,2,7,4,2,5,5,cracker,walk,partner,home,,,,
