,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,Filter B2
0,2025-09-01T08:00:00,134,853,37,41,3,3,2,7,4,3,oatmeal,yoga,partner,home,Yes,Yes,
1,2025-09-01T10:00:00,143,561,50,38,6,2,7,2,6,2,yoghurt,tennis,relatives,street,Yes,,
2,2025-09-01T12:00:00,128,1253,46,50,2,7,1,5,6,2,yoghurt,swim,relatives,cafe,,,
3,2025-09-01T14:00:00,111,660,55,43,6,3,4,6,3,2,yoghurt,swim,friends,cafe,Yes,,
4,2025-09-01T16:00:00,96,734,59,69,2,5,7,1,3,6,milk,tennis,relatives,cafe,Yes,,Yes
5,2025-09-01T18:00:00,73,1720,67,54,6,2,6,4,7,3,cracker,walk,friends,office,,,
6,2025-09-01T20:00:00,107,1395,43,34,2,4,3,3,6,6,fruit,tennis,colleagues,park,,,
7,2025-09-01T22:00:00,122,1610,57,46,2,3,3,3,2,3,cracker,tennis,colleagues,street,,,
8,2025-09-02T00:00:00,78,1192,53,62,2,6,2,2,7,6,milk,golf,relatives,office,,,
9,2025-09-02T02:00:00,91,1526,70,64,2,6,3,3,7,2,oatmeal,walk,colleagues,home,,,
10,2025-09-02T04:00:00,85,706,62,60,7,3,1,4,7,2,bread,swim,acquaintances,cafe,Yes,,
11,2025-09-02T06:00:00,116,1112,31,66,1,1,5,2,6,6,fruit,walk,strangers,office,,,
12,2025-09-02T08:00:00,147,1167,41,52,3,1,2,2,2,6,fruit,swim,relatives,home,,,
13,2025-09-02T10:00:00,101,596,64,36,3,2,4,3,2,2,cracker,yoga,colleagues,home,Yes,,
14,2025-09-02T12:00:00,138,1552,39,56,1,5,1,3,1,5,milk,tennis,acquaintances,cafe,,,
