,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,2025-09-01T08:00:00,147,701,56,45,6,6,2,5,2,6,oatmeal,swim,colleagues,park,,,,
1,2025-09-01T10:00:00,61,1000,46,42,3,7,1,3,6,3,cracker,swim,relatives,office,,Yes,,Yes
2,2025-09-01T12:00:00,126,623,65,33,4,2,3,6,1,6,oatmeal,bike,colleagues,park,Yes,,Yes,
3,2025-09-01T14:00:00,74,750,70,47,1,4,5,2,4,1,fruit,walk,friends,home,,,,
4,2025-09-01T16:00:00,149,1466,50,53,6,4,3,7,5,6,oatmeal,tennis,relatives,park,,,,
5,2025-09-01T18:00:00,62,1558,68,51,6,7,3,4,3,2,yoghurt,yoga,partner,cafe,,,,
6,2025-09-01T20:00:00,139,1248,31,68,4,1,5,3,5,5,milk,bike,colleagues,park,,,,
7,2025-09-01T22:00:00,121,1677,36,60,2,1,5,3,1,6,fruit,walk,partner,office,,,,
8,2025-09-02T00:00:00,137,863,37,66,4,6,5,5,1,5,oatmeal,walk,colleagues,home,,,,
9,2025-09-02T02:00:00,150,1320,68,39,3,4,3,3,4,4,oatmeal,swim,relatives,park,,,,
10,2025-09-02T04:00:00,82,1201,58,36,6,4,6,2,6,4,fruit,bike,colleagues,cafe,,,,
11,2025-09-02T06:00:00,90,1399,59,56,7,6,6,6,4,6,cracker,walk,colleagues,park,,,,
12,2025-09-02T08:00:00,124,1201,41,64,5,5,6,2,3,3,milk,tennis,partner,office,,,,
13,2025-09-02T10:00:00,85,940,50,62,3,5,6,4,5,2,milk,yoga,partner,home,,,,
14,2025-09-02T12:00:00,84,701,65,58,1,3,1,2,5,4,yoghurt,bike,partner,home,,,,
