,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,2025-09-01T08:00:00,116,925,69,69,5,3,4,5,3,7,milk,tennis,colleagues,office,,,,
1,2025-09-01T10:00:00,127,1487,65,52,6,4,3,3,4,7,oatmeal,swim,colleagues,office,,,,
2,2025-09-01T12:00:00,132,1355,42,31,1,6,3,1,6,5,milk,yoga,relatives,office,,,,
3,2025-09-01T14:00:00,145,508,68,45,6,2,2,4,5,4,fruit,swim,partner,home,Yes,,Yes,
4,2025-09-01T16:00:00,127,701,52,40,3,5,1,7,2,3,milk,swim,relatives,park,,,,
5,2025-09-01T18:00:00,143,1667,57,38,4,6,2,2,7,2,milk,swim,friends,office,,,,
6,2025-09-01T20:00:00,63,843,38,43,1,6,5,6,6,3,milk,swim,partner,office,,,,
7,2025-09-01T22:00:00,102,1044,68,48,1,1,7,5,2,6,yoghurt,tennis,colleagues,home,,Yes,,Yes
8,2025-09-02T00:00:00,145,1342,58,56,2,7,2,1,3,6,oatmeal,swim,partner,office,,,,
9,2025-09-02T02:00:00,118,1586,69,54,7,2,1,5,4,3,cracker,bike,relatives,home,,,,
10,2025-09-02T04:00:00,141,706,66,35,2,3,7,5,6,6,fruit,tennis,relatives,cafe,,,,
11,2025-09-02T06:00:00,70,1233,42,64,6,5,4,3,3,6,oatmeal,swim,friends,office,,,,
12,2025-09-02T08:00:00,102,720,44,67,7,7,3,1,7,5,milk,swim,colleagues,park,,,,
13,2025-09-02T10:00:00,82,776,37,50,7,3,2,7,4,5,milk,yoga,colleagues,office,,,,
14,2025-09-02T12:00:00,109,1422,36,58,3,7,5,4,2,6,milk,bike,partner,home,,,,
