,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T08:00:00,118,1163,62,39,7,3,2,5,6,4,γάλα,περπάτημα,σύντροφος,πάρκο,,
1,1,2025-09-01T10:00:00,62,709,59,34,5,6,5,2,4,1,φρούτο,περπάτημα,συνάδελφοι,καφετέρια,Yes,Yes
2,2,2025-09-01T12:00:00,85,1225,51,41,4,4,6,4,6,6,βρώμη,περπάτημα,σύντροφος,σπίτι,,
3,3,2025-09-01T14:00:00,80,1533,69,55,5,3,4,4,4,6,βρώμη,ποδήλατο,σύντροφος,γραφείο,,
4,4,2025-09-01T16:00:00,126,409,45,45,6,2,1,7,1,2,κράκερ,περπάτημα,συνάδελφοι,γραφείο,,
5,5,2025-09-01T18:00:00,121,1528,52,45,6,4,3,6,3,4,γιαούρτι,περπάτημα,φίλοι,γραφείο,,
6,6,2025-09-01T20:00:00,140,1377,63,38,2,3,7,3,1,4,γιαούρτι,κολύμπι,φίλοι,πάρκο,,
7,7,2025-09-01T22:00:00,68,876,55,41,1,5,4,4,7,3,κράκερ,περπάτημα,σύντροφος,γραφείο,,
8,8,2025-09-02T00:00:00,98,618,64,67,3,6,7,2,6,6,γάλα,γιόγκα,συγγενείς,πάρκο,,
9,9,2025-09-02T02:00:00,63,1740,53,56,3,3,6,6,6,4,κράκερ,ποδήλατο,σύντροφος,γραφείο,,
10,10,2025-09-02T04:00:00,80,871,58,54,2,2,1,6,3,2,βρώμη,κολύμπι,σύντροφος,καφετέρια,,
11,11,2025-09-02T06:00:00,105,530,32,37,7,7,5,3,1,4,βρώμη,τέννις,σύντροφος,πάρκο,,
12,12,2025-09-02T08:00:00,62,535,39,59,6,4,5,5,6,5,γιαούρτι,ποδήλατο,φίλοι,γραφείο,,
13,13,2025-09-02T10:00:00,78,1586,42,37,3,2,4,5,7,2,βρώμη,γιόγκα,φίλοι,σπίτι,,
14,14,2025-09-02T12:00:00,118,1245,33,45,5,1,3,2,2,3,γιαούρτι,ποδήλατο,φίλοι,πάρκο,,
