,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,tm
0,2025-09-01T08:00:00,72,1723,42,54,4,7,4,6,2,5,yoghurt,bike,colleagues,store,Yes,Yes,2025-09-01 08:00:00
1,2025-09-01T10:00:00,136,1662,31,65,3,4,2,3,2,2,cracker,yoga,partner,office,Yes,,2025-09-01 10:00:00
2,2025-09-01T12:00:00,129,443,64,64,4,4,4,6,3,7,milk,tennis,friends,cafe,Yes,,2025-09-01 12:00:00
3,2025-09-01T14:00:00,83,436,52,50,1,3,4,5,3,4,cracker,bike,strangers,park,Yes,,2025-09-01 14:00:00
4,2025-09-01T16:00:00,105,1158,56,54,1,4,3,1,1,4,cracker,golf,partner,office,,,2025-09-01 16:00:00
5,2025-09-01T18:00:00,100,1715,37,31,5,7,3,1,1,2,milk,yoga,relatives,cafe,,,2025-09-01 18:00:00
6,2025-09-01T20:00:00,119,934,70,40,7,1,4,1,4,7,milk,yoga,acquaintances,street,,,2025-09-01 20:00:00
7,2025-09-01T22:00:00,131,703,64,62,5,6,5,6,1,6,bread,walk,partner,home,,,2025-09-01 22:00:00
8,2025-09-02T00:00:00,68,991,35,47,3,6,5,2,4,4,yoghurt,tennis,friends,park,,,2025-09-02 00:00:00
9,2025-09-02T02:00:00,63,441,43,37,2,6,4,2,6,2,fruit,bike,relatives,store,,,2025-09-02 02:00:00
10,2025-09-02T04:00:00,135,710,59,52,4,5,1,5,4,5,oatmeal,swim,acquaintances,cafe,,,2025-09-02 04:00:00
11,2025-09-02T06:00:00,99,1013,58,58,7,6,2,3,1,3,milk,walk,partner,street,,,2025-09-02 06:00:00
12,2025-09-02T08:00:00,129,1094,67,57,6,4,2,1,5,4,yoghurt,bike,relatives,store,,,2025-09-02 08:00:00
13,2025-09-02T10:00:00,60,726,47,45,4,4,5,2,6,3,cracker,yoga,friends,park,,,2025-09-02 10:00:00
14,2025-09-02T12:00:00,100,723,63,48,6,4,6,4,1,5,oatmeal,golf,colleagues,store,,,2025-09-02 12:00:00
15,2025-09-02T14:00:00,125,706,57,50,2,1,6,2,1,1,cracker,tennis,colleagues,office,,,2025-09-02 14:00:00
16,2025-09-02T16:00:00,81,1043,42,61,4,6,6,3,4,3,oatmeal,yoga,relatives,home,,,2025-09-02 16:00:00
