,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T08:00:00,118,1163,62,65,7,3,2,6,6,4,γάλα,περπάτημα,σύντροφος,πάρκο,,
1,1,2025-09-01T10:00:00,62,709,59,35,5,6,5,7,4,1,φρούτο,περπάτημα,συνάδελφοι,καφετέρια,,
2,2,2025-09-01T12:00:00,85,1225,51,35,4,4,6,2,6,6,βρώμη,περπάτημα,σύντροφος,σπίτι,,
3,3,2025-09-01T14:00:00,80,1533,69,35,5,3,4,3,4,6,φρούτο,ποδήλατο,σύντροφος,γραφείο,,
4,4,2025-09-01T16:00:00,126,409,45,56,6,2,1,5,1,2,κράκερ,περπάτημα,συνάδελφοι,γραφείο,,
5,5,2025-09-01T18:00:00,121,1528,52,55,6,4,3,4,3,4,κράκερ,περπάτημα,φίλοι,γραφείο,,
6,6,2025-09-01T20:00:00,140,1377,63,62,2,3,7,4,1,4,γιαούρτι,κολύμπι,φίλοι,πάρκο,,
7,7,2025-09-01T22:00:00,68,876,55,57,1,5,4,2,7,3,κράκερ,περπάτημα,σύντροφος,γραφείο,,
8,8,2025-09-02T00:00:00,98,618,64,63,3,6,7,2,6,6,γάλα,γιόγκα,συγγενείς,πάρκο,,
9,9,2025-09-02T02:00:00,63,1740,53,55,3,3,6,7,6,4,κράκερ,ποδήλατο,σύντροφος,γραφείο,,
10,10,2025-09-02T04:00:00,80,871,58,46,2,2,1,3,3,2,βρώμη,κολύμπι,σύντροφος,καφετέρια,Yes,
11,11,2025-09-02T06:00:00,105,530,32,45,7,4,5,7,1,4,κράκερ,τέννις,σύντροφος,πάρκο,Yes,
12,12,2025-09-02T08:00:00,62,535,39,42,6,4,5,6,6,5,γιαούρτι,ποδήλατο,φίλοι,γραφείο,Yes,Yes
13,13,2025-09-02T10:00:00,78,1586,42,44,3,2,4,5,7,2,βρώμη,γιόγκα,φίλοι,σπίτι,Yes,
14,14,2025-09-02T12:00:00,118,1245,33,50,5,1,3,5,2,3,γιαούρτι,ποδήλατο,φίλοι,πάρκο,Yes,
