,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,tm
0,2025-09-01T08:00:00,81,611,59,38,5,1,5,1,5,3,bread,yoga,acquaintances,park,,,2025-09-01 08:00:00
1,2025-09-01T10:00:00,109,1289,67,69,2,5,2,4,4,3,cracker,tennis,relatives,home,,,2025-09-01 10:00:00
2,2025-09-01T12:00:00,93,1615,46,65,6,1,1,3,5,5,cracker,swim,acquaintances,park,,,2025-09-01 12:00:00
3,2025-09-01T14:00:00,114,1132,62,48,4,5,6,6,3,3,oatmeal,bike,colleagues,office,Yes,Yes,2025-09-01 14:00:00
4,2025-09-01T16:00:00,116,1438,48,47,3,3,3,7,5,3,milk,walk,partner,office,Yes,,2025-09-01 16:00:00
5,2025-09-01T18:00:00,66,1340,67,57,1,6,7,2,5,6,milk,walk,relatives,home,,,2025-09-01 18:00:00
6,2025-09-01T20:00:00,61,490,65,59,6,7,6,5,1,1,bread,yoga,acquaintances,park,,,2025-09-01 20:00:00
7,2025-09-01T22:00:00,135,1462,34,45,7,4,3,1,1,4,yoghurt,bike,relatives,store,Yes,,2025-09-01 22:00:00
8,2025-09-02T00:00:00,83,1228,35,60,2,7,4,6,5,5,fruit,swim,partner,store,,,2025-09-02 00:00:00
9,2025-09-02T02:00:00,81,822,39,48,6,3,4,2,7,3,yoghurt,yoga,relatives,park,Yes,,2025-09-02 02:00:00
10,2025-09-02T04:00:00,150,443,69,69,3,1,5,5,3,2,cracker,bike,strangers,store,,,2025-09-02 04:00:00
11,2025-09-02T06:00:00,102,1612,47,52,2,5,5,2,4,6,milk,swim,partner,street,,,2025-09-02 06:00:00
12,2025-09-02T08:00:00,135,1062,55,62,3,1,4,1,5,2,bread,swim,relatives,office,,,2025-09-02 08:00:00
13,2025-09-02T10:00:00,103,1406,42,42,6,2,5,7,3,2,bread,golf,partner,home,Yes,,2025-09-02 10:00:00
14,2025-09-02T12:00:00,118,1630,50,54,6,3,7,3,3,4,yoghurt,walk,acquaintances,street,,,2025-09-02 12:00:00
