,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T08:00:00,118,1718,39,39,7,3,2,5,6,4,γάλα,περπάτημα,σύντροφος,πάρκο,,
1,1,2025-09-01T10:00:00,62,460,45,34,5,6,5,2,4,1,φρούτο,περπάτημα,συνάδελφοι,καφετέρια,,
2,2,2025-09-01T12:00:00,85,910,45,41,4,4,6,4,6,6,βρώμη,περπάτημα,σύντροφος,σπίτι,,
3,3,2025-09-01T14:00:00,80,1525,37,55,5,3,4,4,4,6,φρούτο,ποδήλατο,σύντροφος,γραφείο,,
4,4,2025-09-01T16:00:00,126,1618,65,45,6,2,1,7,1,2,κράκερ,περπάτημα,συνάδελφοι,γραφείο,,
5,5,2025-09-01T18:00:00,121,1328,69,45,6,4,3,6,3,4,γιαούρτι,περπάτημα,φίλοι,γραφείο,,
6,6,2025-09-01T20:00:00,140,978,32,38,2,3,7,3,1,4,γιαούρτι,κολύμπι,φίλοι,πάρκο,,
7,7,2025-09-01T22:00:00,68,598,45,41,1,5,4,4,7,3,κράκερ,περπάτημα,σύντροφος,γραφείο,,
8,8,2025-09-02T00:00:00,98,743,65,67,3,6,7,2,6,6,γάλα,γιόγκα,συγγενείς,πάρκο,,
9,9,2025-09-02T02:00:00,63,1452,65,56,3,3,6,6,6,4,κράκερ,ποδήλατο,σύντροφος,γραφείο,,
10,10,2025-09-02T04:00:00,80,842,66,54,2,2,1,6,3,2,βρώμη,κολύμπι,σύντροφος,καφετέρια,,
11,11,2025-09-02T06:00:00,105,529,42,37,7,7,5,3,1,4,βρώμη,τέννις,σύντροφος,πάρκο,,
12,12,2025-09-02T08:00:00,62,670,34,59,6,4,5,5,6,5,γιαούρτι,ποδήλατο,φίλοι,γραφείο,,
13,13,2025-09-02T10:00:00,78,1125,55,37,3,2,4,5,7,2,βρώμη,γιόγκα,φίλοι,σπίτι,Yes,Yes
14,14,2025-09-02T12:00:00,118,1225,65,45,5,1,3,2,2,3,γιαούρτι,ποδήλατο,φίλοι,πάρκο,,
