,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T08:00:00,99,1142,44,47,3,5,5,4,2,1,γάλα,περπάτημα,σύντροφος,πάρκο,,
1,1,2025-09-01T10:00:00,121,1332,47,38,5,6,1,3,3,7,γάλα,κολύμπι,γνωστοί,γραφείο,,
2,2,2025-09-01T12:00:00,69,838,37,62,3,7,6,7,1,4,ψωμί,γκολφ,σύντροφος,μαγαζί,Yes,
3,3,2025-09-01T14:00:00,106,975,50,35,4,5,3,6,4,7,φρούτο,γκολφ,ξένοι,σπίτι,Yes,Yes
4,4,2025-09-01T16:00:00,140,1620,67,65,6,7,4,1,2,3,ψωμί,ποδήλατο,σύντροφος,γραφείο,,
5,5,2025-09-01T18:00:00,127,638,63,43,2,1,7,2,6,6,γάλα,περπάτημα,σύντροφος,γραφείο,,
6,6,2025-09-01T20:00:00,136,1154,42,33,1,3,2,5,6,5,φρούτο,τέννις,συνάδελφοι,δρόμος,,
7,7,2025-09-01T22:00:00,85,1557,54,56,2,7,7,6,4,6,βρώμη,γιόγκα,φίλοι,μαγαζί,,
8,8,2025-09-02T00:00:00,112,1445,59,59,6,6,6,5,1,5,γιαούρτι,ποδήλατο,συνάδελφοι,καφετέρια,,
9,9,2025-09-02T02:00:00,90,558,34,52,5,3,4,6,3,4,ψωμί,κολύμπι,συνάδελφοι,μαγαζί,,
10,10,2025-09-02T04:00:00,80,913,39,50,2,7,5,5,2,2,ψωμί,γκολφ,φίλοι,πάρκο,Yes,
11,11,2025-09-02T06:00:00,94,872,65,54,3,5,6,3,2,2,γάλα,περπάτημα,γνωστοί,μαγαζί,Yes,
12,12,2025-09-02T08:00:00,117,1262,52,70,2,6,3,1,2,6,γάλα,ποδήλατο,συγγενείς,πάρκο,,
13,13,2025-09-02T10:00:00,131,1682,57,40,4,3,1,7,6,6,φρούτο,γκολφ,φίλοι,σπίτι,,
14,14,2025-09-02T12:00:00,73,1203,61,67,1,2,3,3,2,7,φρούτο,γκολφ,σύντροφος,σπίτι,,
