,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T08:00:00,107,1556,33,61,6,7,6,6,3,6,κράκερ,περπάτημα,σύντροφος,πάρκο,,
1,1,2025-09-01T10:00:00,133,1108,68,58,3,6,4,5,2,3,γάλα,περπάτημα,φίλοι,πάρκο,,
2,2,2025-09-01T12:00:00,146,712,49,36,3,1,2,4,3,3,γάλα,περπάτημα,σύντροφος,σπίτι,,
3,3,2025-09-01T14:00:00,86,1346,70,39,6,4,5,7,1,5,γιαούρτι,τέννις,φίλοι,μαγαζί,,
4,4,2025-09-01T16:00:00,129,796,36,56,4,5,7,3,5,4,κράκερ,γκολφ,ξένοι,καφετέρια,,
5,5,2025-09-01T18:00:00,123,1795,62,39,3,3,3,2,4,4,φρούτο,κολύμπι,γνωστοί,σπίτι,,
6,6,2025-09-01T20:00:00,120,1457,63,56,1,5,1,5,4,2,γάλα,γιόγκα,φίλοι,δρόμος,,
7,7,2025-09-01T22:00:00,70,996,67,68,6,7,7,6,6,4,γάλα,ποδήλατο,συνάδελφοι,σπίτι,,
8,8,2025-09-02T00:00:00,62,1199,31,56,3,5,6,4,3,5,γιαούρτι,περπάτημα,γνωστοί,δρόμος,,
9,9,2025-09-02T02:00:00,95,526,45,64,4,3,6,7,4,6,κράκερ,περπάτημα,συγγενείς,δρόμος,,
10,10,2025-09-02T04:00:00,127,880,32,46,3,2,2,2,7,4,γάλα,τέννις,συγγενείς,καφετέρια,Yes,Yes
11,11,2025-09-02T06:00:00,83,1717,60,39,5,3,5,6,4,4,κράκερ,γιόγκα,συγγενείς,καφετέρια,,
12,12,2025-09-02T08:00:00,105,597,44,66,5,2,2,6,5,4,βρώμη,ποδήλατο,συγγενείς,καφετέρια,,
13,13,2025-09-02T10:00:00,89,1649,68,39,3,2,7,5,3,4,ψωμί,γκολφ,γνωστοί,σπίτι,,
14,14,2025-09-02T12:00:00,136,1265,45,64,1,2,5,5,7,4,ψωμί,περπάτημα,γνωστοί,καφετέρια,,
